name,birthday,nationality
Leonardo DiCaprio,1974-11-11,USA
Tom Hanks,1956-07-09,USA
Brad Pitt,1963-12-18,USA
Morgan Freeman,1937-06-01,USA
Denzel Washington,1954-12-28,USA
Robert De Niro,1943-08-17,USA
Johnny Depp,1963-06-09,USA
Chris Evans,1981-06-13,USA
Chris Hemsworth,1983-08-11,USA
Matthew McConaughey,1969-11-04,USA
Keanu Reeves,1964-09-02,USA
Will Smith,1968-09-25,USA
Jake Gyllenhaal,1980-12-19,USA
Joaquin Phoenix,1974-10-28,USA
Timothée Chalamet,1995-12-27,USA
Ryan Gosling,1980-11-12,USA
Wagner Moura,1976-06-27,BRAZIL
Lázaro Ramos,1978-11-01,BRAZIL
Rodrigo Santoro,1975-08-22,BRAZIL
Cauã Reymond,1980-05-20,BRAZIL
Selton Mello,1972-12-30,BRAZIL
Murilo Benício,1971-07-13,BRAZIL
Mateus Solano,1981-03-20,BRAZIL
Reynaldo Gianecchini,1972-11-12,BRAZIL
Antônio Fagundes,1949-04-18,BRAZIL
Tony Ramos,1948-08-25,BRAZIL
Chay Suede,1992-06-30,BRAZIL
Jonathan Azevedo,1986-01-24,BRAZIL
Alexandre Nero,1970-02-13,BRAZIL
Jesuíta Barbosa,1991-06-26,BRAZIL
